LDAY,LTIM[HMS],LAT[DEG],LON[DEG],MOD,RT,WV[MM],WV1[MM],WV2[MM],WV3[MM],DET,P[MB],GWV[MM],LI[K],CA,GLI,TSK[K],CIN,GCIN,GWV1,GWV2,GWV3
2014095,156,50.2328,123.6786,0,21,6.08,2.32,3.04,0.69,4,827.0,6.44,6.6,0.0,6.3,265.75,,0.0,2.66,3.05,0.69
2014095,156,50.2932,121.7951,0,21,5.85,2.18,2.87,0.78,4,838.0,6.68,6.0,2.0,4.8,268.43,0.0,0.0,2.93,3.00,0.73
2014095,156,50.3042,121.4785,0,21,8.21,3.07,3.96,1.16,4,903.0,8.95,4.9,1.0,3.7,278.11,,0.0,3.66,4.09,1.18
2014095,156,50.3098,121.3199,0,21,6.58,2.63,3.05,0.88,4,870.0,7.45,5.4,2.0,7.5,278.85,0.0,,3.08,3.41,0.94
2014095,156,50.3213,121.0021,0,21,7.27,2.86,3.40,0.99,4,870.0,7.44,4.5,1.0,4.2,271.09,0.0,0.0,3.03,3.40,0.99
2014095,156,50.3271,120.8429,0,21,8.06,3.19,3.81,1.03,4,870.0,7.49,3.0,15.0,4.1,273.77,0.0,0.0,3.02,3.44,1.01
2014095,156,50.3390,120.5238,0,21,5.12,1.93,2.45,0.72,4,838.0,6.49,5.8,2.0,4.0,274.20,0.0,,2.74,2.93,0.80
2014095,156,50.3451,120.3639,0,21,8.99,3.08,4.48,1.41,4,886.0,8.48,3.5,4.0,3.3,272.12,0.0,0.0,3.23,3.97,1.25
2014095,156,50.3574,120.0435,0,21,6.12,2.47,2.78,0.85,4,854.0,7.64,3.9,1.0,2.6,273.33,,0.0,3.04,3.55,1.03
2014095,156,50.5213,116.2843,0,21,6.24,2.36,3.32,0.54,4,820.0,6.58,3.6,15.0,4.3,271.08,0.0,,2.71,3.31,0.54
2014095,156,50.5458,115.7825,0,21,5.39,1.93,2.93,0.51,4,804.0,5.55,4.8,4.0,6.9,268.46,0.0,,2.33,2.80,0.40
2014095,156,50.5626,115.4464,0,21,3.17,1.46,1.53,0.16,4,717.0,2.98,4.0,,4.3,260.93,,,1.54,1.30,0.13
2014095,156,50.5884,114.9396,0,21,2.70,1.24,1.26,0.17,4,731.0,3.28,3.4,3.0,2.0,264.89,0.0,,1.61,1.47,0.19
